trial,block,code,A,B,C,D,E,F,flow,type,A_txt,B_txt,C_txt,D_txt,E_txt,F_txt,divider,carrier_out
211,4,11,0,0,1,0,1,1,33.333333333333336,001011,0,0,3,0,6,7,3,800
212,4,26,0,1,1,0,1,0,33.333333333333336,011010,0,2,3,0,6,0,3,800
213,4,34,1,0,0,0,1,0,50.0,100010,1,0,0,0,6,0,2,800
214,4,37,1,0,0,1,0,1,33.333333333333336,100101,1,0,0,5,0,7,3,800
215,4,1,0,0,0,0,0,1,100.0,000001,0,0,0,0,0,7,1,800
216,4,47,1,0,1,1,1,1,20.0,101111,1,0,3,5,6,7,5,800
217,4,12,0,0,1,1,0,0,50.0,001100,0,0,3,5,0,0,2,800
218,4,2,0,0,0,0,1,0,100.0,000010,0,0,0,0,6,0,1,800
219,4,32,1,0,0,0,0,0,100.0,100000,1,0,0,0,0,0,1,800
220,4,58,1,1,1,0,1,0,25.0,111010,1,2,3,0,6,0,4,800
221,4,49,1,1,0,0,0,1,33.333333333333336,110001,1,2,0,0,0,7,3,800
222,4,17,0,1,0,0,0,1,50.0,010001,0,2,0,0,0,7,2,800
223,4,62,1,1,1,1,1,0,20.0,111110,1,2,3,5,6,0,5,800
224,4,39,1,0,0,1,1,1,25.0,100111,1,0,0,5,6,7,4,800
225,4,7,0,0,0,1,1,1,33.333333333333336,000111,0,0,0,5,6,7,3,800
226,4,18,0,1,0,0,1,0,50.0,010010,0,2,0,0,6,0,2,800
227,4,35,1,0,0,0,1,1,33.333333333333336,100011,1,0,0,0,6,7,3,800
228,4,25,0,1,1,0,0,1,33.333333333333336,011001,0,2,3,0,0,7,3,800
229,4,55,1,1,0,1,1,1,20.0,110111,1,2,0,5,6,7,5,800
230,4,50,1,1,0,0,1,0,33.333333333333336,110010,1,2,0,0,6,0,3,800
231,4,61,1,1,1,1,0,1,20.0,111101,1,2,3,5,0,7,5,800
232,4,14,0,0,1,1,1,0,33.333333333333336,001110,0,0,3,5,6,0,3,800
233,4,56,1,1,1,0,0,0,33.333333333333336,111000,1,2,3,0,0,0,3,800
234,4,29,0,1,1,1,0,1,25.0,011101,0,2,3,5,0,7,4,800
235,4,36,1,0,0,1,0,0,50.0,100100,1,0,0,5,0,0,2,800
236,4,33,1,0,0,0,0,1,50.0,100001,1,0,0,0,0,7,2,800
237,4,52,1,1,0,1,0,0,33.333333333333336,110100,1,2,0,5,0,0,3,800
238,4,3,0,0,0,0,1,1,50.0,000011,0,0,0,0,6,7,2,800
239,4,54,1,1,0,1,1,0,25.0,110110,1,2,0,5,6,0,4,800
240,4,31,0,1,1,1,1,1,20.0,011111,0,2,3,5,6,7,5,800
241,4,30,0,1,1,1,1,0,25.0,011110,0,2,3,5,6,0,4,800
242,4,51,1,1,0,0,1,1,25.0,110011,1,2,0,0,6,7,4,800
243,4,40,1,0,1,0,0,0,50.0,101000,1,0,3,0,0,0,2,800
244,4,24,0,1,1,0,0,0,50.0,011000,0,2,3,0,0,0,2,800
245,4,38,1,0,0,1,1,0,33.333333333333336,100110,1,0,0,5,6,0,3,800
246,4,10,0,0,1,0,1,0,50.0,001010,0,0,3,0,6,0,2,800
247,4,45,1,0,1,1,0,1,25.0,101101,1,0,3,5,0,7,4,800
248,4,57,1,1,1,0,0,1,25.0,111001,1,2,3,0,0,7,4,800
249,4,46,1,0,1,1,1,0,25.0,101110,1,0,3,5,6,0,4,800
250,4,5,0,0,0,1,0,1,50.0,000101,0,0,0,5,0,7,2,800
251,4,59,1,1,1,0,1,1,20.0,111011,1,2,3,0,6,7,5,800
252,4,41,1,0,1,0,0,1,33.333333333333336,101001,1,0,3,0,0,7,3,800
253,4,23,0,1,0,1,1,1,25.0,010111,0,2,0,5,6,7,4,800
254,4,13,0,0,1,1,0,1,33.333333333333336,001101,0,0,3,5,0,7,3,800
255,4,27,0,1,1,0,1,1,25.0,011011,0,2,3,0,6,7,4,800
256,4,63,1,1,1,1,1,1,16.666666666666668,111111,1,2,3,5,6,7,6,800
257,5,3,0,0,0,0,1,1,50.0,000011,0,0,0,0,6,7,2,800
258,5,52,1,1,0,1,0,0,33.333333333333336,110100,1,2,0,5,0,0,3,800
259,5,33,1,0,0,0,0,1,50.0,100001,1,0,0,0,0,7,2,800
260,5,22,0,1,0,1,1,0,33.333333333333336,010110,0,2,0,5,6,0,3,800
261,5,53,1,1,0,1,0,1,25.0,110101,1,2,0,5,0,7,4,800
262,5,35,1,0,0,0,1,1,33.333333333333336,100011,1,0,0,0,6,7,3,800
263,5,8,0,0,1,0,0,0,100.0,001000,0,0,3,0,0,0,1,800
264,5,41,1,0,1,0,0,1,33.333333333333336,101001,1,0,3,0,0,7,3,800
265,5,26,0,1,1,0,1,0,33.333333333333336,011010,0,2,3,0,6,0,3,800
