trial,block,odor,A,B,C,D,E,F,type,code,flow,total_odor_flow,carrier_out
238,7,D,0,0,0,1,0,0,000100,4,40,40,860
239,7,D,0,0,0,1,0,0,000100,4,40,40,860
240,7,D,0,0,0,1,0,0,000100,4,40,40,860
241,7,E,0,0,0,0,1,0,000010,2,40,40,860
242,7,E,0,0,0,0,1,0,000010,2,40,40,860
243,7,E,0,0,0,0,1,0,000010,2,40,40,860
244,7,E,0,0,0,0,1,0,000010,2,40,40,860
245,7,E,0,0,0,0,1,0,000010,2,40,40,860
246,7,E,0,0,0,0,1,0,000010,2,40,40,860
247,7,F,0,0,0,0,0,1,000001,1,40,40,860
248,7,F,0,0,0,0,0,1,000001,1,40,40,860
249,7,F,0,0,0,0,0,1,000001,1,40,40,860
250,7,F,0,0,0,0,0,1,000001,1,40,40,860
251,7,F,0,0,0,0,0,1,000001,1,40,40,860
252,7,F,0,0,0,0,0,1,000001,1,40,40,860
253,8,A,1,0,0,0,0,0,100000,32,30,30,870
254,8,A,1,0,0,0,0,0,100000,32,30,30,870
255,8,A,1,0,0,0,0,0,100000,32,30,30,870
256,8,A,1,0,0,0,0,0,100000,32,30,30,870
257,8,A,1,0,0,0,0,0,100000,32,30,30,870
258,8,A,1,0,0,0,0,0,100000,32,30,30,870
259,8,B,0,1,0,0,0,0,010000,16,30,30,870
260,8,B,0,1,0,0,0,0,010000,16,30,30,870
261,8,B,0,1,0,0,0,0,010000,16,30,30,870
262,8,B,0,1,0,0,0,0,010000,16,30,30,870
263,8,B,0,1,0,0,0,0,010000,16,30,30,870
264,8,B,0,1,0,0,0,0,010000,16,30,30,870
265,8,C,0,0,1,0,0,0,001000,8,30,30,870
266,8,C,0,0,1,0,0,0,001000,8,30,30,870
267,8,C,0,0,1,0,0,0,001000,8,30,30,870
268,8,C,0,0,1,0,0,0,001000,8,30,30,870
269,8,C,0,0,1,0,0,0,001000,8,30,30,870
270,8,C,0,0,1,0,0,0,001000,8,30,30,870
271,8,D,0,0,0,1,0,0,000100,4,30,30,870
272,8,D,0,0,0,1,0,0,000100,4,30,30,870
273,8,D,0,0,0,1,0,0,000100,4,30,30,870
274,8,D,0,0,0,1,0,0,000100,4,30,30,870
275,8,D,0,0,0,1,0,0,000100,4,30,30,870
276,8,D,0,0,0,1,0,0,000100,4,30,30,870
277,8,E,0,0,0,0,1,0,000010,2,30,30,870
278,8,E,0,0,0,0,1,0,000010,2,30,30,870
279,8,E,0,0,0,0,1,0,000010,2,30,30,870
280,8,E,0,0,0,0,1,0,000010,2,30,30,870
281,8,E,0,0,0,0,1,0,000010,2,30,30,870
282,8,E,0,0,0,0,1,0,000010,2,30,30,870
283,8,F,0,0,0,0,0,1,000001,1,30,30,870
284,8,F,0,0,0,0,0,1,000001,1,30,30,870
285,8,F,0,0,0,0,0,1,000001,1,30,30,870
286,8,F,0,0,0,0,0,1,000001,1,30,30,870
287,8,F,0,0,0,0,0,1,000001,1,30,30,870
288,8,F,0,0,0,0,0,1,000001,1,30,30,870
289,9,A,1,0,0,0,0,0,100000,32,20,20,880
290,9,A,1,0,0,0,0,0,100000,32,20,20,880
291,9,A,1,0,0,0,0,0,100000,32,20,20,880
292,9,A,1,0,0,0,0,0,100000,32,20,20,880
293,9,A,1,0,0,0,0,0,100000,32,20,20,880
294,9,A,1,0,0,0,0,0,100000,32,20,20,880
295,9,B,0,1,0,0,0,0,010000,16,20,20,880
296,9,B,0,1,0,0,0,0,010000,16,20,20,880
297,9,B,0,1,0,0,0,0,010000,16,20,20,880
298,9,B,0,1,0,0,0,0,010000,16,20,20,880
299,9,B,0,1,0,0,0,0,010000,16,20,20,880
300,9,B,0,1,0,0,0,0,010000,16,20,20,880
301,9,C,0,0,1,0,0,0,001000,8,20,20,880
302,9,C,0,0,1,0,0,0,001000,8,20,20,880
303,9,C,0,0,1,0,0,0,001000,8,20,20,880
304,9,C,0,0,1,0,0,0,001000,8,20,20,880
305,9,C,0,0,1,0,0,0,001000,8,20,20,880
306,9,C,0,0,1,0,0,0,001000,8,20,20,880
307,9,D,0,0,0,1,0,0,000100,4,20,20,880
308,9,D,0,0,0,1,0,0,000100,4,20,20,880
309,9,D,0,0,0,1,0,0,000100,4,20,20,880
310,9,D,0,0,0,1,0,0,000100,4,20,20,880
311,9,D,0,0,0,1,0,0,000100,4,20,20,880
312,9,D,0,0,0,1,0,0,000100,4,20,20,880
313,9,E,0,0,0,0,1,0,000010,2,20,20,880
314,9,E,0,0,0,0,1,0,000010,2,20,20,880
315,9,E,0,0,0,0,1,0,000010,2,20,20,880
316,9,E,0,0,0,0,1,0,000010,2,20,20,880
317,9,E,0,0,0,0,1,0,000010,2,20,20,880
318,9,E,0,0,0,0,1,0,000010,2,20,20,880
319,9,F,0,0,0,0,0,1,000001,1,20,20,880
320,9,F,0,0,0,0,0,1,000001,1,20,20,880
321,9,F,0,0,0,0,0,1,000001,1,20,20,880
322,9,F,0,0,0,0,0,1,000001,1,20,20,880
323,9,F,0,0,0,0,0,1,000001,1,20,20,880
324,9,F,0,0,0,0,0,1,000001,1,20,20,880
325,10,A,1,0,0,0,0,0,100000,32,10,10,890
326,10,A,1,0,0,0,0,0,100000,32,10,10,890
327,10,A,1,0,0,0,0,0,100000,32,10,10,890
328,10,A,1,0,0,0,0,0,100000,32,10,10,890
329,10,A,1,0,0,0,0,0,100000,32,10,10,890
330,10,A,1,0,0,0,0,0,100000,32,10,10,890
