trial,block,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
343,6,1,1,0,1,1,0,110110,54,4,25.0,100,800
344,6,0,0,0,1,0,1,000101,5,2,50.0,100,800
345,6,1,0,1,1,0,1,101101,45,4,25.0,100,800
346,6,1,1,0,1,1,1,110111,55,5,20.0,100,800
347,6,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
348,6,1,0,1,0,0,0,101000,40,2,50.0,100,800
349,6,1,0,0,1,1,1,100111,39,4,25.0,100,800
350,6,0,0,1,0,0,0,001000,8,1,100.0,100,800
351,6,0,0,0,0,0,0,000000,0,0,0.0,0,900
352,6,1,0,1,0,1,0,101010,42,3,33.333333333333336,100,800
353,6,0,0,1,0,1,0,001010,10,2,50.0,100,800
354,6,1,0,0,1,1,0,100110,38,3,33.333333333333336,100,800
355,6,1,1,0,0,0,0,110000,48,2,50.0,100,800
356,6,1,0,0,0,1,1,100011,35,3,33.333333333333336,100,800
357,6,1,1,1,1,0,1,111101,61,5,20.0,100,800
358,6,0,1,0,1,0,1,010101,21,3,33.333333333333336,100,800
359,6,1,0,1,0,1,1,101011,43,4,25.0,100,800
360,6,0,0,1,0,1,1,001011,11,3,33.333333333333336,100,800
361,6,1,1,1,0,0,0,111000,56,3,33.333333333333336,100,800
362,6,0,1,0,0,1,0,010010,18,2,50.0,100,800
363,6,0,1,0,0,0,1,010001,17,2,50.0,100,800
364,6,1,1,0,0,1,0,110010,50,3,33.333333333333336,100,800
365,6,0,0,1,0,0,1,001001,9,2,50.0,100,800
366,6,1,1,1,1,0,0,111100,60,4,25.0,100,800
367,6,1,0,1,1,1,0,101110,46,4,25.0,100,800
368,6,1,0,0,0,1,0,100010,34,2,50.0,100,800
369,6,1,1,0,0,0,1,110001,49,3,33.333333333333336,100,800
370,6,1,1,0,0,1,1,110011,51,4,25.0,100,800
371,6,0,1,0,1,0,0,010100,20,2,50.0,100,800
372,6,0,0,0,1,1,1,000111,7,3,33.333333333333336,100,800
373,6,0,0,0,1,1,0,000110,6,2,50.0,100,800
374,6,0,1,1,0,1,0,011010,26,3,33.333333333333336,100,800
375,6,0,1,0,0,1,1,010011,19,3,33.333333333333336,100,800
376,6,1,1,0,1,0,0,110100,52,3,33.333333333333336,100,800
377,6,1,1,1,1,1,0,111110,62,5,20.0,100,800
378,6,1,0,0,1,0,0,100100,36,2,50.0,100,800
379,6,1,1,1,0,1,0,111010,58,4,25.0,100,800
380,6,1,1,1,0,0,1,111001,57,4,25.0,100,800
381,6,0,0,0,0,1,1,000011,3,2,50.0,100,800
382,6,1,1,1,1,1,1,111111,63,6,16.666666666666668,100,800
383,6,0,0,1,1,0,0,001100,12,2,50.0,100,800
384,6,0,1,1,0,0,0,011000,24,2,50.0,100,800
385,7,1,1,0,1,0,1,110101,53,4,25.0,100,800
386,7,0,0,0,1,0,0,000100,4,1,100.0,100,800
387,7,1,1,0,1,0,0,110100,52,3,33.333333333333336,100,800
388,7,0,0,1,1,1,0,001110,14,3,33.333333333333336,100,800
389,7,1,0,1,0,1,0,101010,42,3,33.333333333333336,100,800
390,7,0,1,0,1,0,0,010100,20,2,50.0,100,800
391,7,0,0,1,1,1,1,001111,15,4,25.0,100,800
392,7,0,0,1,0,0,1,001001,9,2,50.0,100,800
393,7,0,0,0,0,1,0,000010,2,1,100.0,100,800
394,7,1,1,1,0,1,0,111010,58,4,25.0,100,800
395,7,1,1,0,1,1,1,110111,55,5,20.0,100,800
396,7,0,0,0,0,0,0,000000,0,0,0.0,0,900
397,7,1,0,1,0,0,1,101001,41,3,33.333333333333336,100,800
398,7,1,1,1,1,1,1,111111,63,6,16.666666666666668,100,800
399,7,1,0,0,1,0,1,100101,37,3,33.333333333333336,100,800
400,7,0,0,0,1,1,1,000111,7,3,33.333333333333336,100,800
401,7,1,1,0,1,1,0,110110,54,4,25.0,100,800
402,7,1,0,0,1,0,0,100100,36,2,50.0,100,800
403,7,1,1,1,1,0,1,111101,61,5,20.0,100,800
404,7,0,1,1,0,1,1,011011,27,4,25.0,100,800
405,7,1,1,1,1,0,0,111100,60,4,25.0,100,800
406,7,1,0,1,0,0,0,101000,40,2,50.0,100,800
407,7,1,0,1,1,0,1,101101,45,4,25.0,100,800
408,7,1,1,0,0,0,1,110001,49,3,33.333333333333336,100,800
409,7,1,0,1,1,0,0,101100,44,3,33.333333333333336,100,800
410,7,0,0,0,1,0,1,000101,5,2,50.0,100,800
411,7,0,0,1,1,0,0,001100,12,2,50.0,100,800
412,7,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
413,7,1,1,1,0,1,1,111011,59,5,20.0,100,800
414,7,0,1,0,1,0,1,010101,21,3,33.333333333333336,100,800
415,7,0,1,0,0,0,1,010001,17,2,50.0,100,800
416,7,0,0,0,0,0,1,000001,1,1,100.0,100,800
417,7,0,1,1,1,1,0,011110,30,4,25.0,100,800
418,7,1,1,0,0,0,0,110000,48,2,50.0,100,800
419,7,1,0,0,0,1,0,100010,34,2,50.0,100,800
420,7,0,1,1,1,1,1,011111,31,5,20.0,100,800
421,7,0,0,1,0,1,1,001011,11,3,33.333333333333336,100,800
422,7,0,1,0,0,0,0,010000,16,1,100.0,100,800
423,7,1,1,1,0,0,1,111001,57,4,25.0,100,800
424,7,1,0,0,0,0,1,100001,33,2,50.0,100,800
425,7,0,0,1,0,0,0,001000,8,1,100.0,100,800
426,7,0,0,1,1,0,1,001101,13,3,33.333333333333336,100,800
427,7,1,1,1,1,1,0,111110,62,5,20.0,100,800
