trial,block,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
258,5,0,0,0,0,0,0,000000,0,0,0,0,900
259,5,0,1,0,0,1,1,010011,19,3,100,300,600
260,5,0,0,0,0,1,1,000011,3,2,100,200,700
261,5,0,0,0,0,0,1,000001,1,1,100,100,800
262,5,1,1,0,1,0,0,110100,52,3,100,300,600
263,5,0,1,0,1,0,0,010100,20,2,100,200,700
264,5,0,1,0,1,1,1,010111,23,4,100,400,500
265,5,1,0,0,0,1,0,100010,34,2,100,200,700
266,5,1,1,0,1,1,0,110110,54,4,100,400,500
267,5,1,1,0,1,1,1,110111,55,5,100,500,400
268,5,1,0,1,1,1,1,101111,47,5,100,500,400
269,5,1,0,1,0,0,1,101001,41,3,100,300,600
270,5,0,0,1,1,1,1,001111,15,4,100,400,500
271,5,1,1,0,0,1,0,110010,50,3,100,300,600
272,5,1,0,0,0,0,1,100001,33,2,100,200,700
273,5,1,0,1,0,0,0,101000,40,2,100,200,700
274,5,0,1,0,0,0,1,010001,17,2,100,200,700
275,5,0,0,1,1,0,1,001101,13,3,100,300,600
276,5,1,0,0,0,1,1,100011,35,3,100,300,600
277,5,0,1,1,0,1,1,011011,27,4,100,400,500
278,5,0,0,0,1,1,0,000110,6,2,100,200,700
279,5,1,1,1,0,0,1,111001,57,4,100,400,500
280,5,0,1,0,1,0,1,010101,21,3,100,300,600
281,5,0,1,1,1,1,1,011111,31,5,100,500,400
282,5,1,0,0,0,0,0,100000,32,1,100,100,800
283,5,1,1,0,0,0,1,110001,49,3,100,300,600
284,5,0,1,1,0,0,1,011001,25,3,100,300,600
285,5,0,1,1,0,1,0,011010,26,3,100,300,600
286,5,0,0,1,0,0,1,001001,9,2,100,200,700
287,5,1,0,0,1,1,1,100111,39,4,100,400,500
288,5,0,0,1,0,1,0,001010,10,2,100,200,700
289,5,0,0,0,1,0,0,000100,4,1,100,100,800
290,5,1,0,1,0,1,1,101011,43,4,100,400,500
291,5,0,1,1,0,0,0,011000,24,2,100,200,700
292,5,1,0,1,0,1,0,101010,42,3,100,300,600
293,5,1,1,1,0,0,0,111000,56,3,100,300,600
294,5,1,1,0,0,0,0,110000,48,2,100,200,700
295,5,1,1,1,0,1,1,111011,59,5,100,500,400
296,5,1,1,1,0,1,0,111010,58,4,100,400,500
297,5,0,0,1,0,0,0,001000,8,1,100,100,800
298,5,1,1,0,1,0,1,110101,53,4,100,400,500
299,5,0,1,0,1,1,0,010110,22,3,100,300,600
300,5,0,1,0,0,1,0,010010,18,2,100,200,700
301,5,1,0,1,1,1,0,101110,46,4,100,400,500
302,5,1,0,0,1,1,0,100110,38,3,100,300,600
303,5,1,1,1,1,0,0,111100,60,4,100,400,500
304,5,0,0,1,0,1,1,001011,11,3,100,300,600
305,5,1,0,1,1,0,0,101100,44,3,100,300,600
306,5,1,1,1,1,1,1,111111,63,6,100,600,300
307,5,0,0,0,1,0,1,000101,5,2,100,200,700
308,5,0,1,1,1,0,1,011101,29,4,100,400,500
309,5,1,1,1,1,0,1,111101,61,5,100,500,400
310,5,0,0,1,1,0,0,001100,12,2,100,200,700
311,5,0,0,1,1,1,0,001110,14,3,100,300,600
312,5,0,1,1,1,0,0,011100,28,3,100,300,600
313,5,1,1,1,1,1,0,111110,62,5,100,500,400
314,5,0,1,0,0,0,0,010000,16,1,100,100,800
315,5,0,0,0,1,1,1,000111,7,3,100,300,600
316,5,1,0,0,1,0,1,100101,37,3,100,300,600
317,5,1,0,1,1,0,1,101101,45,4,100,400,500
318,5,1,0,0,1,0,0,100100,36,2,100,200,700
319,5,0,0,0,0,1,0,000010,2,1,100,100,800
320,5,0,1,1,1,1,0,011110,30,4,100,400,500
321,6,0,0,0,0,1,1,000011,3,2,100,200,700
322,6,0,1,0,0,0,1,010001,17,2,100,200,700
323,6,0,0,0,1,1,0,000110,6,2,100,200,700
324,6,0,0,0,0,0,1,000001,1,1,100,100,800
325,6,1,0,1,1,1,1,101111,47,5,100,500,400
326,6,0,0,1,0,1,0,001010,10,2,100,200,700
327,6,0,1,1,1,1,0,011110,30,4,100,400,500
328,6,1,0,1,1,0,1,101101,45,4,100,400,500
329,6,1,1,1,0,1,1,111011,59,5,100,500,400
330,6,0,0,0,1,0,1,000101,5,2,100,200,700
331,6,0,0,1,1,0,1,001101,13,3,100,300,600
332,6,0,1,0,1,0,1,010101,21,3,100,300,600
333,6,1,1,0,0,1,1,110011,51,4,100,400,500
334,6,0,1,1,0,1,1,011011,27,4,100,400,500
335,6,1,1,0,1,1,1,110111,55,5,100,500,400
336,6,0,0,1,1,1,0,001110,14,3,100,300,600
337,6,1,0,0,0,0,0,100000,32,1,100,100,800
338,6,1,0,0,0,1,0,100010,34,2,100,200,700
339,6,1,1,1,0,0,1,111001,57,4,100,400,500
340,6,1,1,1,1,0,1,111101,61,5,100,500,400
341,6,1,0,0,1,1,1,100111,39,4,100,400,500
342,6,0,1,0,0,1,0,010010,18,2,100,200,700
343,6,1,1,0,0,0,0,110000,48,2,100,200,700
344,6,0,1,1,0,1,0,011010,26,3,100,300,600
345,6,0,0,0,0,1,0,000010,2,1,100,100,800
346,6,1,0,0,0,0,1,100001,33,2,100,200,700
347,6,1,1,0,0,0,1,110001,49,3,100,300,600
348,6,0,0,1,0,0,1,001001,9,2,100,200,700
349,6,0,0,1,0,0,0,001000,8,1,100,100,800
350,6,1,1,0,1,0,0,110100,52,3,100,300,600
351,6,0,1,0,0,0,0,010000,16,1,100,100,800
352,6,1,1,1,0,0,0,111000,56,3,100,300,600
353,6,1,1,1,1,1,0,111110,62,5,100,500,400
354,6,1,0,1,0,0,1,101001,41,3,100,300,600
355,6,0,0,1,1,0,0,001100,12,2,100,200,700
356,6,0,0,0,1,0,0,000100,4,1,100,100,800
357,6,0,1,0,1,1,1,010111,23,4,100,400,500
358,6,1,1,0,1,1,0,110110,54,4,100,400,500
359,6,1,0,0,0,1,1,100011,35,3,100,300,600
360,6,1,0,1,1,1,0,101110,46,4,100,400,500
361,6,1,0,1,0,1,1,101011,43,4,100,400,500
362,6,0,1,0,1,0,0,010100,20,2,100,200,700
363,6,0,1,1,1,0,1,011101,29,4,100,400,500
364,6,0,0,1,1,1,1,001111,15,4,100,400,500
365,6,0,1,1,1,1,1,011111,31,5,100,500,400
366,6,1,1,1,1,1,1,111111,63,6,100,600,300
367,6,0,0,0,0,0,0,000000,0,0,0,0,900
368,6,1,0,0,1,0,1,100101,37,3,100,300,600
369,6,1,0,1,1,0,0,101100,44,3,100,300,600
370,6,0,0,1,0,1,1,001011,11,3,100,300,600
371,6,0,1,1,1,0,0,011100,28,3,100,300,600
372,6,0,1,0,0,1,1,010011,19,3,100,300,600
373,6,0,1,1,0,0,1,011001,25,3,100,300,600
374,6,1,0,1,0,0,0,101000,40,2,100,200,700
375,6,1,0,0,1,0,0,100100,36,2,100,200,700
376,6,0,0,0,1,1,1,000111,7,3,100,300,600
377,6,1,1,1,1,0,0,111100,60,4,100,400,500
378,6,1,1,0,0,1,0,110010,50,3,100,300,600
